id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,edge_brightness_gain,rotation_deg,brightness_jitter,contrast_jitter,sample_seed
0,reference\00000.png,search\00000.png,179.267071723938,946.1,131.0,896.1,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1271691941
1,reference\00001.png,search\00001.png,471.0439373254776,610.6,422.5,560.6,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,337881673
2,reference\00002.png,search\00002.png,429.055463051796,567.7,380.1,517.7,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,324271685
3,reference\00003.png,search\00003.png,723.7533175826072,268.3,673.3,218.3,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,329489630
4,reference\00004.png,search\00004.png,304.44219000339507,612.6,256.2,562.6,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1863961123
5,reference\00005.png,search\00005.png,117.59401088356972,264.9,67.9,214.9,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,993246560
6,reference\00006.png,search\00006.png,285.19810540676116,563.2,235.7,513.2,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1796544534
7,reference\00007.png,search\00007.png,761.0133249282837,598.7,711.7,548.7,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1719253783
8,reference\00008.png,search\00008.png,560.5432673990726,588.6,511.0,538.6,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,117517862
9,reference\00009.png,search\00009.png,128.6588086605072,78.0,79.7,28.0,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1819691286
