id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,edge_brightness_gain,rotation_deg,brightness_jitter,contrast_jitter,seed
0,reference\00000.png,search\00000.png,551.4229288518429,332.3,501.7,282.3,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
1,reference\00001.png,search\00001.png,263.290229177475,782.1,214.6,732.1,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
2,reference\00002.png,search\00002.png,228.22371330372988,230.5,178.2,180.5,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
3,reference\00003.png,search\00003.png,174.25054549574853,408.6,124.4,358.6,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
4,reference\00004.png,search\00004.png,347.2536148071289,894.5,298.4,844.5,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
5,reference\00005.png,search\00005.png,932.3557052731514,269.0,883.2,219.0,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
6,reference\00006.png,search\00006.png,548.5764101743698,748.7,500.0,698.7,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
7,reference\00007.png,search\00007.png,845.1179529905319,950.0,796.8,900.0,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
8,reference\00008.png,search\00008.png,531.0838794469834,548.4,482.1,498.4,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
9,reference\00009.png,search\00009.png,168.2202698469162,823.0,119.8,773.0,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,999
