id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,edge_brightness_gain,rotation_deg,brightness_jitter,contrast_jitter,seed
0,reference\00000.png,search\00000.png,168.58266740739344,456.4,118.7,406.4,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
1,reference\00001.png,search\00001.png,560.5219258546829,230.4,510.8,180.4,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
2,reference\00002.png,search\00002.png,110.42853281497955,293.2,61.1,243.2,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
3,reference\00003.png,search\00003.png,818.3573714017868,768.4,768.7,718.4,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
4,reference\00004.png,search\00004.png,552.1310529708862,506.0,502.5,456.0,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
5,reference\00005.png,search\00005.png,659.9036068797111,707.8,610.8,657.8,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
6,reference\00006.png,search\00006.png,851.7198055505753,289.7,802.7,239.7,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
7,reference\00007.png,search\00007.png,383.22582376599314,344.8,333.6,294.8,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
8,reference\00008.png,search\00008.png,552.9808667421341,290.1,503.7,240.1,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
9,reference\00009.png,search\00009.png,194.1978812456131,396.2,144.9,346.2,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
10,reference\00010.png,search\00010.png,645.4314597696066,390.2,595.5,340.2,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
11,reference\00011.png,search\00011.png,145.4701450943947,142.8,95.3,92.8,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
12,reference\00012.png,search\00012.png,113.98378336429596,357.1,65.5,307.1,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
13,reference\00013.png,search\00013.png,312.6801508318633,322.6,262.7,272.6,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
14,reference\00014.png,search\00014.png,723.9480273105204,492.1,673.9,442.1,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
15,reference\00015.png,search\00015.png,111.19789602905512,261.6,61.3,211.6,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
16,reference\00016.png,search\00016.png,378.2965743690729,825.5,328.5,775.5,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
17,reference\00017.png,search\00017.png,573.2042803168297,592.9,523.5,542.9,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
18,reference\00018.png,search\00018.png,742.7530464410781,235.5,693.3,185.5,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
19,reference\00019.png,search\00019.png,272.774463397637,271.7,222.8,221.7,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
20,reference\00020.png,search\00020.png,782.7477616906166,463.5,733.4,413.5,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
21,reference\00021.png,search\00021.png,181.99703612327576,524.3,132.4,474.3,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
22,reference\00022.png,search\00022.png,944.331576629728,266.7,894.3,216.7,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
23,reference\00023.png,search\00023.png,736.6816962122917,466.9,687.6,416.9,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
24,reference\00024.png,search\00024.png,544.0072279453277,294.8,494.8,244.8,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
25,reference\00025.png,search\00025.png,878.2789857387543,571.9,829.5,521.9,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
26,reference\00026.png,search\00026.png,111.21757566928864,262.1,62.0,212.1,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
27,reference\00027.png,search\00027.png,872.0522835373879,64.0,822.7,14.0,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
28,reference\00028.png,search\00028.png,569.2069160938263,562.2,520.5,512.2,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
29,reference\00029.png,search\00029.png,555.1160416830331,425.2,505.1,375.2,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.3,0.0,0.0,0.0,1001
